order_date,city,quantity,unit_price,total_revenue,age,category,hour,day_of_week,is_weekend,guessed_gender
2024-08-10 10:36:00,Bursa,1,1565.0,1565.0,31-40,Coffee Machine,10,Saturday,True,Female
2024-08-10 10:48:00,Kastamonu,2,6150.0,12300.0,,Vacuum Cleaner,10,Saturday,True,Male
2024-08-10 11:26:00,Ankara,1,4620.0,4620.0,51-60,Vacuum Cleaner,11,Saturday,True,Male
2024-08-10 11:52:00,İzmir,1,3583.0,3583.0,,Vacuum Cleaner,11,Saturday,True,Female
2024-08-10 12:24:00,Rize,1,15358.0,15358.0,41-50,Dishwasher,12,Saturday,True,Female
2024-08-10 12:53:00,Konya,1,1250.0,1250.0,,Coffee Machine,12,Saturday,True,Female
2024-08-10 13:57:00,Kocaeli,1,6150.0,6150.0,31-40,Vacuum Cleaner,13,Saturday,True,Female
2024-08-10 14:24:00,Edirne,1,12500.0,12500.0,,Kitchen Robot,14,Saturday,True,Female
2024-08-10 14:34:00,İstanbul,1,10698.0,10698.0,31-40,Oven,14,Saturday,True,Female
2024-08-10 14:54:00,Adana,1,3583.0,3583.0,,Vacuum Cleaner,14,Saturday,True,Female
2024-08-10 15:04:00,Antalya,1,15450.0,15450.0,,Deep Freezer,15,Saturday,True,Female
2024-08-10 15:05:00,Tekirdağ,1,8367.0,8367.0,31-40,Kitchen Robot,15,Saturday,True,Male
2024-08-10 15:10:00,Bursa,1,3583.0,3583.0,21-30,Vacuum Cleaner,15,Saturday,True,Male
2024-08-10 15:29:00,Kocaeli,1,3583.0,3583.0,21-30,Vacuum Cleaner,15,Saturday,True,Female
2024-08-10 15:34:00,Ankara,1,3999.0,3999.0,,Blender,15,Saturday,True,Male
2024-08-10 16:52:00,İstanbul,1,10698.0,10698.0,,Oven,16,Saturday,True,Male
2024-08-10 17:00:00,Sivas,1,4620.0,4620.0,51-60,Vacuum Cleaner,17,Saturday,True,Male
2024-08-10 17:00:00,Sivas,2,5520.0,11040.0,51-60,Vacuum Cleaner,17,Saturday,True,Male
2024-08-10 18:50:00,İstanbul,1,11133.0,11133.0,41-50,Oven,18,Saturday,True,Female
2024-08-10 20:04:00,Ordu,1,10698.0,10698.0,21-30,Oven,20,Saturday,True,Female
2024-08-10 20:40:00,Mersin,1,1700.0,1700.0,21-30,Toaster (Bread),20,Saturday,True,Female
2024-08-10 21:36:00,Rize,1,2484.0,2484.0,,Blender,21,Saturday,True,Male
2024-08-10 22:13:00,Trabzon,1,2484.0,2484.0,31-40,Blender,22,Saturday,True,Male
2024-08-10 22:20:00,İstanbul,1,6150.0,6150.0,31-40,Vacuum Cleaner,22,Saturday,True,Female
2024-08-10 23:20:00,Konya,1,3350.0,3350.0,,Blender,23,Saturday,True,Male
2024-08-10 23:44:00,İzmir,1,40150.0,40150.0,,Refrigerator,23,Saturday,True,Male
2024-08-10 23:55:00,İstanbul,1,18876.0,18876.0,21-30,Dishwasher,23,Saturday,True,Male
2024-08-11 09:59:00,Sakarya,1,6983.0,6983.0,31-40,Extractor Hood,9,Sunday,True,Female
2024-08-11 11:08:00,Konya,1,17500.0,17500.0,,Other,11,Sunday,True,Female
